Participant ID,sex,key,DD,DS,N/A,SS,SSandDS,SS-DD,SS-DS,DS-DD,DSSS-DD,SSDD,SSDS,DSDD,DSSSDD,wSS,wDS,wDD,wSSandDS
137,female,137,4,5,1,4,9,0,-1,1,5,1.0,-0.0103051121438672,1.2485645397827545,5.8828125,1.333733453369344,1.2534784025671235,0.4992511233150274,1.287922152261019
139,female,139,3,5,1,1,6,-2,-4,2,3,0.6010293442917274,-3.041220448575469,1.4971290795655092,3.9296875,0.333433363342336,1.2534784025671235,0.3744383424862705,0.8586147681740125
144,female,144,6,5,1,4,9,-2,-1,-1,3,0.6010293442917274,-0.0103051121438672,0.7514354602172454,3.9296875,1.333733453369344,1.2534784025671235,0.7488766849725411,1.287922152261019
146,female,146,1,9,1,5,14,4,-4,8,13,1.7979413114165452,-3.041220448575469,2.9885163182620365,13.6953125,1.6671668167116802,2.256261124620823,0.1248127808287568,2.003434459072696
147,female,147,5,5,1,4,9,-1,-1,0,4,0.8005146721458637,-0.0103051121438672,1.0,4.90625,1.333733453369344,1.2534784025671235,0.6240639041437843,1.287922152261019
151,female,151,1,5,1,9,14,8,4,4,13,2.5958826228330905,5.041220448575469,1.994258159131018,13.6953125,3.0009002700810243,1.2534784025671235,0.1248127808287568,2.003434459072696
153,female,153,7,2,1,2,4,-5,0,-5,-3,0.0025733607293183,1.0,-0.2428226989137728,-1.9296875,0.6668667266846721,0.5013913610268494,0.873689465801298,0.5724098454493417
156,female,156,3,5,1,7,12,4,2,2,9,1.7979413114165452,3.020610224287734,1.4971290795655092,9.7890625,2.334033543396352,1.2534784025671235,0.3744383424862705,1.717229536348025
157,female,157,8,4,1,3,7,-5,-1,-4,-1,0.0025733607293183,-0.0103051121438672,0.0057418408689817,0.0234375,1.000300090027008,1.002782722053699,0.9985022466300548,1.001717229536348
158,female,158,4,6,1,5,11,1,-1,2,7,1.1994853278541364,-0.0103051121438672,1.4971290795655092,7.835937500000001,1.6671668167116802,1.5041740830805486,0.4992511233150274,1.5741270749856895
159,female,159,10,5,1,0,5,-10,-5,-5,-5,-0.9948532785413632,-4.051525560719336,-0.2428226989137728,-3.8828125,0.0,1.2534784025671235,1.2481278082875686,0.7155123068116771
160,female,160,5,7,1,2,9,-3,-5,2,4,0.401544016437591,-4.051525560719336,1.4971290795655092,4.90625,0.6668667266846721,1.7548697635939732,0.6240639041437843,1.287922152261019
161,female,161,1,5,1,8,13,7,3,4,12,2.396397294978954,4.030915336431602,1.994258159131018,12.71875,2.667466906738688,1.2534784025671235,0.1248127808287568,1.8603319977103605
162,female,162,5,6,1,4,10,-1,-2,1,5,0.8005146721458637,-1.0206102242877344,1.2485645397827545,5.8828125,1.333733453369344,1.5041740830805486,0.6240639041437843,1.4310246136233542
163,female,163,6,3,1,6,9,0,3,-3,3,1.0,4.030915336431602,0.2543063806517363,3.9296875,2.000600180054016,0.7520870415402743,0.7488766849725411,1.287922152261019
164,female,164,1,7,1,7,14,6,0,6,13,2.196911967124818,1.0,2.491387238696527,13.6953125,2.334033543396352,1.7548697635939732,0.1248127808287568,2.003434459072696
165,female,165,4,6,1,2,8,-2,-4,2,4,0.6010293442917274,-3.041220448575469,1.4971290795655092,4.90625,0.6668667266846721,1.5041740830805486,0.4992511233150274,1.1448196908986834
168,female,168,3,3,1,6,9,3,3,0,6,1.598455983562409,4.030915336431602,1.0,6.859375,2.000600180054016,0.7520870415402743,0.3744383424862705,1.287922152261019
169,female,169,1,5,1,9,14,8,4,4,13,2.5958826228330905,5.041220448575469,1.994258159131018,13.6953125,3.0009002700810243,1.2534784025671235,0.1248127808287568,2.003434459072696
171,female,171,1,10,1,2,12,1,-8,9,11,1.1994853278541364,-7.082440897150938,3.237080858044791,11.7421875,0.6668667266846721,2.5069568051342475,0.1248127808287568,1.717229536348025
175,female,175,1,7,1,6,13,5,-1,6,12,1.9974266392706816,-0.0103051121438672,2.491387238696527,12.71875,2.000600180054016,1.7548697635939732,0.1248127808287568,1.8603319977103605
176,female,176,8,5,1,2,7,-6,-3,-3,-1,-0.1969119671248179,-2.030915336431601,0.2543063806517363,0.0234375,0.6668667266846721,1.2534784025671235,0.9985022466300548,1.001717229536348
179,female,179,8,5,1,1,6,-7,-4,-3,-2,-0.3963972949789542,-3.041220448575469,0.2543063806517363,-0.953125,0.333433363342336,1.2534784025671235,0.9985022466300548,0.8586147681740125
180,female,180,3,7,1,4,11,1,-3,4,8,1.1994853278541364,-2.030915336431601,1.994258159131018,8.8125,1.333733453369344,1.7548697635939732,0.3744383424862705,1.5741270749856895
181,female,181,3,6,1,3,9,0,-3,3,6,1.0,-2.030915336431601,1.7456936193482635,6.859375,1.000300090027008,1.5041740830805486,0.3744383424862705,1.287922152261019
184,female,184,1,8,1,6,14,5,-2,7,13,1.9974266392706816,-1.0206102242877344,2.739951778479282,13.6953125,2.000600180054016,2.005565444107398,0.1248127808287568,2.003434459072696
186,female,186,5,2,1,6,8,1,4,-3,3,1.1994853278541364,5.041220448575469,0.2543063806517363,3.9296875,2.000600180054016,0.5013913610268494,0.6240639041437843,1.1448196908986834
187,female,187,3,5,1,7,12,4,2,2,9,1.7979413114165452,3.020610224287734,1.4971290795655092,9.7890625,2.334033543396352,1.2534784025671235,0.3744383424862705,1.717229536348025
188,female,188,3,7,1,5,12,2,-2,4,9,1.3989706557082726,-1.0206102242877344,1.994258159131018,9.7890625,1.6671668167116802,1.7548697635939732,0.3744383424862705,1.717229536348025
190,female,190,5,5,1,5,10,0,0,0,5,1.0,1.0,1.0,5.8828125,1.6671668167116802,1.2534784025671235,0.6240639041437843,1.4310246136233542
191,female,191,1,8,1,6,14,5,-2,7,13,1.9974266392706816,-1.0206102242877344,2.739951778479282,13.6953125,2.000600180054016,2.005565444107398,0.1248127808287568,2.003434459072696
193,female,193,7,2,1,6,8,-1,4,-5,1,0.8005146721458637,5.041220448575469,-0.2428226989137728,1.9765625,2.000600180054016,0.5013913610268494,0.873689465801298,1.1448196908986834
196,female,196,1,4,1,7,11,6,3,3,10,2.196911967124818,4.030915336431602,1.7456936193482635,10.765625,2.334033543396352,1.002782722053699,0.1248127808287568,1.5741270749856895
197,female,197,7,7,1,1,8,-6,-6,0,1,-0.1969119671248179,-5.061830672863203,1.0,1.9765625,0.333433363342336,1.7548697635939732,0.873689465801298,1.1448196908986834
