Participant ID,sex,Label,ss_mean,ds_mean,dd_mean,all_mean,ss_ds_mean,DS-SS,DD-SS,DD-DS,DD-SSDS
160,female,160,1.040039270197281,1.1968604496588533,1.1744874724906036,1.153563959276806,1.129651372746751,0.1568211794615723,0.1344482022933226,-0.0223729771682497,0.0448360997438526
161,female,161,1.0246575495167034,1.1144846383976306,1.077495726169042,1.0767918007661978,1.0759873145915189,0.0898270888809271,0.0528381766523384,-0.0369889122285886,0.001508411577523
162,female,162,1.2161059303428463,1.2389196726988887,1.2200548476810895,1.2242956842181874,1.2291423545462992,0.0228137423560421,0.0039489173382429,-0.0188648250177991,-0.0090875068652096
163,female,163,1.2744303720888244,1.236433725081162,1.2694329286583068,1.2616326297238385,1.25271800237016,-0.0379966470076622,-0.0049974434305175,0.0329992035771447,0.0167149262881467
164,female,164,1.3244720232169895,1.4577385389615587,1.3658203152033883,1.3820621831416204,1.400624317928172,0.1332665157445691,0.0413482919863987,-0.0919182237581703,-0.0348040027247835
165,female,165,0.9963647435945496,1.0780958870878958,1.197359168051752,1.1253567415699497,1.043068254162176,0.081731143493346,0.2009944244572024,0.1192632809638563,0.154290913889576
168,female,168,1.1482357538922223,1.1413003588855222,1.145408898008948,1.1448786587526891,1.144272671031251,-0.0069353950067003,-0.0028268558832746,0.0041085391234256,0.0011362269776968
169,female,169,1.1632783417127204,1.5311759104840423,1.350346806104317,1.3611542077272578,1.3735055238677614,0.3678975687713219,0.1870684643915963,-0.1808291043797256,-0.0231587177634446
171,female,171,0.987899650879834,1.170335754225273,1.106734693797828,1.0999279679948812,1.0921488527915135,0.1824361033454389,0.1188350429179938,-0.063601060427445,0.0145858410063144
175,female,175,0.9642180148112764,1.2480191582628328,1.1936657767430792,1.162270459428653,1.1263900967835945,0.2838011434515564,0.2294477619318027,-0.0543533815197536,0.0672756799594846
176,female,176,1.2113828857277236,1.2212149721565062,1.2215299244969513,1.2194165294523205,1.2170012208298853,0.0098320864287826,0.0101470387692277,0.000314952340445,0.004528703667066
179,female,179,1.2757992529823918,1.184579377018918,1.204432196471223,1.2134115225861752,1.2236736095746923,-0.0912198759634739,-0.0713670565111688,0.0198528194523051,-0.0192414131034694
180,female,180,1.053758718470309,1.0666298175075497,1.0429977571206688,1.0514518321604316,1.061113632205875,0.0128710990372404,-0.0107609613496402,-0.0236320603868807,-0.0181158750852061
181,female,181,1.0890558522036258,1.0452475713553229,1.1004521291152796,1.0834516583302936,1.0640225488617383,-0.0438082808483029,0.0113962769116537,0.0552045577599566,0.036429580253541
184,female,184,1.2483355831450385,1.1611282220541468,1.248539405621651,1.225188992174994,1.198502805378815,-0.0872073610908916,0.0002038224766125,0.0874111835675042,0.050036600242836
186,female,186,1.0408196221718824,1.3025846211059402,1.0509894456949604,1.116047527766606,1.1903996215627726,0.2617649989340578,0.010169823523078,-0.2515951754109797,-0.1394101758678121
187,female,187,1.1067947203104556,1.186451856465312,1.1405857653280045,1.1460585139611097,1.1523130838275164,0.0796571361548563,0.0337910450175487,-0.0458660911373076,-0.0117273184995121
188,female,188,1.008394685555544,1.0894996868860936,1.080429015496945,1.0684409952124378,1.0547404006015724,0.0811050013305496,0.072034329941401,-0.0090706713891486,0.0256886148953725
190,female,190,0.8265682377687171,1.3292078291330731,1.1916639163578793,1.1553231573800988,1.113790861405492,0.5026395913643562,0.3650956785891621,-0.137543912775194,0.0778730549523871
191,female,191,1.120832215345107,1.2208833725765984,1.1727165538657809,1.1751841711511972,1.1780043051916735,0.1000511572314915,0.0518843385206739,-0.0481668187108175,-0.0052877513258926
193,female,193,1.0597696053363552,1.138791628592258,1.1035566232800007,1.1041952211078734,1.104925047196871,0.0790220232559029,0.0437870179436454,-0.0352350053122574,-0.0013684239168703
196,female,196,1.1359888419596131,1.1693012052799407,1.1293016181508269,1.141305619480348,1.1550244781426575,0.0333123633203276,-0.0066872238087862,-0.0399995871291138,-0.0257228599918306
197,female,197,1.1668942715899424,1.1856440367010737,1.1733299717657395,1.1753265823800023,1.177608423082018,0.0187497651111312,0.006435700175797,-0.0123140649353341,-0.0042784513162783
