Participant ID,sex,overall_corr,DD_corr,DS_corr,SS_corr,DSSS_corr,source_file
153,female,0.2631279564601849,0.2240750965618699,0.2721276445973926,0.4032425282548428,0.3483210500313237,153_dist_est.csv
156,female,0.2977348206778492,0.0981083998799012,0.4391117208088965,0.7119167972199336,0.6227425656912662,156_dist_est.csv
157,female,0.4256301169481027,0.4503955227998693,0.3820160778735497,0.4334858986583094,0.4164199066024272,157_dist_est.csv
158,female,0.5938832883664987,0.7735450524202385,0.4221113847874572,0.0905009794277655,0.2272497640961461,158_dist_est.csv
159,female,0.7149419453370581,0.7650438347730683,0.5395616352245689,0.81065568094347,0.6929727998645018,159_dist_est.csv
160,female,0.3195903392471449,0.405751342451761,0.2776907162198112,0.1911030369236135,0.2226285946766538,160_dist_est.csv
161,female,0.710776888749579,0.7465807560828858,0.6526450013208567,0.7272688680852193,0.6562230508897027,161_dist_est.csv
162,female,0.4717390370171454,0.50438513646516,0.2371419858761561,0.5281538352568229,0.4058719409124922,162_dist_est.csv
163,female,0.881889523850652,0.9122802286862176,0.8038511585767425,0.9223088206187824,0.8792452063965837,163_dist_est.csv
164,female,0.7295760271802879,0.7331015738432628,0.7648666732479288,0.9378157819839444,0.8684292437825198,164_dist_est.csv
165,female,0.6366889326659585,0.7565792955367066,0.3313967444720593,0.3383809764046555,0.331862338572399,165_dist_est.csv
168,female,0.2141437728343833,0.5558910880484076,0.6247927162558118,-0.0694432846597969,0.0365448526762078,168_dist_est.csv
169,female,0.4342630911387594,0.524437848109618,0.2777540345010023,0.3729425704618371,0.3179870700936648,169_dist_est.csv
171,female,0.6528288827961913,0.6418221812688928,0.6689337253708105,0.7487113612940305,0.7044752209606068,171_dist_est.csv
175,female,0.0469072762060115,-0.0478345872496343,0.3159267244012761,0.1007358185088105,0.0976701945218797,175_dist_est.csv
176,female,0.6890194586958117,0.7264539498487084,0.6504278902199221,0.7109795039931056,0.6695352818642865,176_dist_est.csv
179,female,0.0572315056870297,0.1917064280209201,-0.1056162500685531,0.326259630144472,0.0099193547736341,179_dist_est.csv
180,female,0.1235041075002192,0.1105747832073252,0.072777158178514,0.1811491524429861,0.1451677546652741,180_dist_est.csv
181,female,0.4152946106500758,0.5933467707369706,-0.0189970352863573,0.2102535364146563,0.1144432847951997,181_dist_est.csv
184,female,0.7143809905104548,0.7742336353510271,0.5244014032231817,0.7120416488374185,0.5988313143605429,184_dist_est.csv
186,female,0.3847413568267339,0.3459394055400364,0.4451011992378942,0.5587070298680887,0.5214884634533037,186_dist_est.csv
187,female,0.6623894580485,0.7099974352926842,0.1518425117048691,0.9100542670736465,0.6496605334877954,187_dist_est.csv
188,female,0.5947279431613012,0.6041565997889885,0.6208753029432292,0.6533003222333826,0.6276092553131388,188_dist_est.csv
190,female,0.3261252383411089,0.1991192661184956,0.21237467784789,0.6743212972933159,0.5413147199612832,190_dist_est.csv
191,female,0.7919378387152097,0.7968262099128858,0.7248707792874395,0.824700191077124,0.7904027157459931,191_dist_est.csv
193,female,0.0654183731045969,0.0510840712490297,0.2311044277932332,0.1938915298625547,0.2075236079054865,193_dist_est.csv
196,female,0.6700537022396894,0.7719713300985483,0.629285800911093,0.5610035409217543,0.5831816075978276,196_dist_est.csv
197,female,0.355347430749093,0.2578400069415711,0.5312558725227743,0.5230997433946303,0.5217388391794803,197_dist_est.csv
