Participant ID,sex,source_file,overall_input_mean,overall_input_median,overall_actual_mean,overall_actual_median,overall_ratio_mean,overall_ratio_median,SS_DS_input_mean,SS_DS_input_median,SS_DS_actual_mean,SS_DS_actual_median,SS_DS_ratio_mean,SS_DS_ratio_median,DD_input_mean,DD_input_median,DD_actual_mean,DD_actual_median,DD_ratio_mean,DD_ratio_median,DS_input_mean,DS_input_median,DS_actual_mean,DS_actual_median,DS_ratio_mean,DS_ratio_median,SS_input_mean,SS_input_median,SS_actual_mean,SS_actual_median,SS_ratio_mean,SS_ratio_median
139,female,139_dist_est.csv,25.5546875,20.0,76.66087875,74.558595,0.3603064564819135,0.2701716211188834,21.0,20.0,78.04409625,74.558595,0.2746173122511635,0.2682461815250225,30.109375,20.0,75.27766125,72.006975,0.4459956007126636,0.2984742295857804,20.125,20.0,78.79917,74.22909999999999,0.252131188075163,0.2701716211188834,21.875,20.0,77.2890225,82.00282999999999,0.2971034364271639,0.2677877690882134
144,female,144_dist_est.csv,34.8671875,35.0,76.66087875,74.558595,0.4521116287165987,0.4628684261103241,35.328125,35.0,78.04409625,74.558595,0.4451656229749227,0.4702330394332052,34.40625,30.0,75.27766125,72.006975,0.4590576344582748,0.4477113443786707,34.46875,35.0,78.79917,74.22909999999999,0.4314962145086375,0.4702330394332052,36.1875,40.0,77.2890225,82.00282999999999,0.4588350314412079,0.5019614646191458
146,female,146_dist_est.csv,56.796875,60.0,76.66087875,74.558595,0.7569141770056541,0.7438894361670663,56.5625,60.0,78.04409625,74.558595,0.7134815543539854,0.702746050466804,57.03125,60.0,75.27766125,72.006975,0.8003467996573228,0.7974023812972408,57.65625,60.0,78.79917,74.22909999999999,0.7275329376987543,0.7518658623287409,55.46875,60.0,77.2890225,82.00282999999999,0.6994301710092166,0.6872453668737913
147,female,147_dist_est.csv,264.4921875,275.0,76.66087875,74.558595,3.625481556512464,3.5975055502550664,238.28125,240.0,78.04409625,74.558595,3.1487218350962456,3.0788297983702355,290.703125,275.0,75.27766125,72.006975,4.102241277928682,3.69358396762943,225.9375,200.0,78.79917,74.22909999999999,2.897832130160094,2.7017162111888338,250.625,275.0,77.2890225,82.00282999999999,3.3996115400323976,3.079194571442345
151,female,151_dist_est.csv,3.17515625,3.1500000000000004,76.66087875,74.558595,0.0428546351806526,0.0418826440209816,3.1675,3.0,78.04409625000001,74.558595,0.0414081780205075,0.0419840427050486,3.1828125,3.25,75.27766125,72.006975,0.0443010923407977,0.0414107259524797,3.1678125,2.9,78.79917,74.22909999999999,0.0397709172689792,0.0423516860565327,3.1671875,3.0,77.2890225,82.00282999999999,0.0430454387720358,0.0410761040341403
153,female,153_dist_est.csv,4.4140625,4.0,76.66087875000001,74.558595,0.0621290622265975,0.0537409187923663,4.359375,4.0,78.04409625,74.558595,0.0573842290181039,0.0537409187923663,4.46875,4.0,75.27766125,72.006975,0.066873895435091,0.0549666585176007,4.3125,4.0,78.79917,74.22909999999999,0.055275840042518,0.0537409187923663,4.40625,4.0,77.2890225,82.00282999999999,0.0594926179936898,0.0547681387121871
156,female,156_dist_est.csv,6.5703125,6.0,76.66087875,74.558595,0.0921753065211685,0.0878325753016115,6.75,6.0,78.04409625000001,74.558595,0.0872936054065139,0.088699266536191,6.390625,6.0,75.27766125,72.006975,0.0970570076358231,0.0852678476263563,6.78125,6.0,78.79917,74.22909999999999,0.0867282540752037,0.091456611154536,6.71875,6.0,77.2890225,82.00282999999999,0.0878589567378242,0.0840844530140378
157,female,157_dist_est.csv,100.34375,95.0,76.66087875000001,74.558595,1.360054507381025,1.2985918459599963,106.1875,95.0,78.04409625,74.558595,1.3668538611551673,1.3195791472492095,94.5,92.5,75.27766125,72.006975,1.3532551536068833,1.2985918459599963,107.8125,100.0,78.79917,74.22909999999999,1.3723189281333048,1.343522969809158,104.5625,85.0,77.2890225,82.00282999999999,1.3613887941770295,1.1715714897609335
158,female,158_dist_est.csv,60.4609375,60.0,76.66087875,74.558595,0.8203071416207652,0.786646022977301,56.359375,60.0,78.04409625,74.558595,0.7573759987987095,0.6890391644020282,64.5625,72.5,75.27766125,72.006975,0.8832382844428209,0.8310563927166218,58.34375,60.0,78.79917,74.22909999999999,0.7488677239432286,0.7415932983696812,54.375,55.0,77.2890225,82.00282999999999,0.7658842736541903,0.6694694227205337
159,female,159_dist_est.csv,26.25,25.0,76.66087875,74.558595,0.3486608319962071,0.351373025233402,24.921875,25.0,78.04409625,74.558595,0.317627947078241,0.3320534343706551,27.578125,25.0,75.27766125,72.006975,0.3796937169141732,0.3928577427901884,22.96875,25.0,78.79917,74.22909999999999,0.2917085492838753,0.2966373193478725,26.875,30.0,77.2890225,82.00282999999999,0.3435473448726067,0.351373025233402
