Participant ID,sex,Filename,DD_mean,DS_mean,SS_mean,DD_median,DS_median,SS_median,Overall_mean,Overall_median,DD_DS_combined_mean
127,female,127_jrd.csv,26.1880144375,29.3785968125,26.84805425,25.396155,24.03072,18.62013,27.150669984375,24.03072,27.25154189583333
128,female,128_jrd.csv,22.983639740625,16.746684875,12.76081843125,17.728740000000002,19.483220000000003,11.91997,18.868695696875,15.7551,20.904654785416664
129,female,129_jrd.csv,83.04007575,100.2010399375,62.5143714375,91.7387,96.0597,42.96793,82.19889071875,83.08115999999998,88.76039714583332
130,male,130_jrd.csv,35.646163259375,24.291448425,27.06858093125,23.53059,22.04847,29.315620000000003,30.66308896875,23.05582,31.86125831458333
131,female,131_jrd.csv,83.23269046875,69.991546,65.0917238125,89.7688,54.15872999999999,44.92862,75.3871626875,59.79250000000002,78.81897564583333
132,female,132_jrd.csv,88.923988734375,91.4138728125,74.681341325,88.60572499999999,91.55825,71.91957500000001,85.9857979015625,83.97139999999999,89.75395009374999
133,female,133_jrd.csv,70.35974203125,58.7624910625,54.258078125,70.83834999999999,41.19828,42.34907500000001,63.4350133125,56.15166999999999,66.49399170833334
134,male,134_jrd.csv,28.8916499375,18.40030644375,31.1171033125,13.84733,17.995365,22.48801,26.825177407812497,17.995365,25.394535439583333
135,male,135_jrd.csv,58.17427653125,26.5432004375,35.8569671875,62.87774000000001,14.286395,19.20828,44.687180171875,29.11965,47.6305845
136,male,136_jrd.csv,25.777194771875,21.771316175,25.8223785625,15.50541,15.59202,14.0403,24.7870210703125,15.002245,24.44190190625
137,female,137_jrd.csv,66.8049345,72.85423885,74.5097029375,57.516805,38.928255,69.97708,70.243452696875,62.744,68.82136928333334
138,male,138_jrd.csv,25.5238855625,23.261835,20.453293375,26.891375,18.62727,12.13559,23.690724875,22.26652,24.76986870833333
139,female,139_jrd.csv,70.62736478125,70.1018200625,55.50759975,55.231415,57.71981499999999,62.19297500000001,66.71603734375,59.82102500000001,70.45218320833332
141,male,141_jrd.csv,25.3670424375,26.9475111875,23.6685782,18.619215,27.84459,19.495765,25.337543565625,20.717155,25.893865354166667
142,male,142_jrd.csv,62.55188965625,59.790162,43.5902463125,61.57544999999999,56.91149999999999,31.023225,57.12104690625,52.76494,61.63131377083332
144,female,144_jrd.csv,22.13906310125,19.63110484375,22.285950675,16.794849999999997,12.51085,20.28099,21.548795430312506,16.33209,21.303077015416665
145,male,145_jrd.csv,28.33991588125,26.3819914375,49.080435875,23.78276,23.20742,31.63135,33.03556476875,25.700105,27.6872744
146,female,146_jrd.csv,16.010422090625,18.117825625,15.83235685,9.0541745,15.273635,12.578915,16.4927566640625,11.73946,16.712889935416666
147,female,147_jrd.csv,69.685913953125,39.90788801875,46.009101125,75.825755,26.450275,32.32376000000001,56.3222042625,43.31217499999998,59.75990530833334
149,male,149_jrd.csv,27.21778595,31.447938,29.1931956125,17.754995,20.433175,11.912995,28.769176378125,16.846225,28.62783663333333
151,female,151_jrd.csv,35.17765230625,41.148377625,41.1686270625,26.077055,33.98335,23.424455,38.168077325,26.077055,37.167894079166665
153,female,153_jrd.csv,28.392545728125,32.5782075625,25.10440874375,24.455245,31.582210000000003,13.35627,28.616926940625,22.38269500000001,29.78776633958333
156,female,156_jrd.csv,60.0904848125,60.870484125,53.86151265625,44.01854,56.38365,42.717545,58.7282416015625,44.677505,60.35048458333333
157,female,157_jrd.csv,21.9958805625,26.39213410625,37.7829570625,18.728955,18.74277,32.84749,27.0417130734375,20.990085,23.46129841041667
158,female,158_jrd.csv,50.2927953125,44.821931125,46.871164375,39.612085,41.255745000000005,36.33089,48.06967153125,40.077885,48.46917391666667
159,female,159_jrd.csv,27.8077872375,32.397238937500006,23.8671111875,25.160455,25.445410000000003,20.501435,27.96998115,23.481635,29.337604470833337
160,female,160_jrd.csv,69.40829171875,68.58975375,85.697986,63.21755000000002,57.32515,88.37621,73.276080796875,68.89179999999999,69.13544572916666
161,female,161_jrd.csv,33.7369814321875,35.9814259375,29.3806968125,29.3042,29.798025,23.815095,33.20902140359375,29.092785,34.485129600624994
