Participant ID,sex,source_file,overall_total_count,overall_count_of_yes,overall_percentage_of_yes,DD_mean,DD_median,DD_total_count,DD_count_of_yes,DD_percentage_of_yes,DS_mean,DS_median,DS_total_count,DS_count_of_yes,DS_percentage_of_yes,SS_mean,SS_median,SS_total_count,SS_count_of_yes,SS_percentage_of_yes,DSSS_percentage_of_yes
187,female,187_jrd.csv,64,57,0.890625,25.01084380625,13.80496,32,30,0.9375,39.4833068125,19.22685,16,15,0.9375,84.19013605,14.15367,16,12,0.75,0.84375
188,female,188_jrd.csv,64,37,0.578125,137.20810146875002,71.564495,32,18,0.5625,90.868303625,31.04277,16,11,0.6875,143.508293625,63.41858,16,8,0.5,0.59375
189,male,189_jrd.csv,64,64,1.0,20.02404003125,18.958955,32,32,1.0,28.1354435625,27.434115,16,16,1.0,25.3449075,21.0692,16,16,1.0,1.0
190,female,190_jrd.csv,64,34,0.53125,150.96580209375,142.313305,32,13,0.40625,142.4503333125,122.56941,16,8,0.5,57.670702908125,19.084795,16,13,0.8125,0.65625
191,female,191_jrd.csv,64,64,1.0,15.610464971875,12.65732,32,32,1.0,13.9215404375,10.267615,16,16,1.0,24.8850915125,27.29616,16,16,1.0,1.0
193,female,193_jrd.csv,64,34,0.53125,136.797923596875,122.7198,32,17,0.53125,151.697305125,168.18205,16,7,0.4375,123.163486875,116.0578,16,10,0.625,0.53125
194,male,194_jrd.csv,64,61,0.953125,25.906592384375,15.450175000000002,32,30,0.9375,29.5870030625,16.82113,16,15,0.9375,16.05399675,14.54193,16,16,1.0,0.96875
195,male,195_jrd.csv,64,56,0.875,48.856844596875,16.056175,32,28,0.875,50.81706116875,18.228695,16,14,0.875,50.004410803125,11.894453,16,14,0.875,0.875
196,female,196_jrd.csv,64,63,0.984375,32.405443365625,23.289235,32,31,0.96875,22.941592125,19.031755,16,16,1.0,33.38791425,34.340915,16,16,1.0,1.0
197,female,197_jrd.csv,64,32,0.5,127.879408125,128.6364,32,18,0.5625,154.1232953125,149.70685,16,6,0.375,138.488164875,147.39215000000002,16,8,0.5,0.4375
